,degree,branch,placed,company
0,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),2,Capgemini (Final)
1,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),1,Schlumberger Asia Services Ltd. (PPO)
2,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),1,Treebo BA
3,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),1,Reckitt Benkiser
4,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),2,Affine Analytics
5,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),1,Sears Final Portal
6,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),1,RELAXO FOOTWEARS LIMITED
7,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),1,JK Technosoft
8,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),1,Virtusa Consulting Services
9,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),1,Axtria India Pvt. Ltd
10,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),2,SCA Technologies-Software Anlayst
11,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),1,Interview Bit
12,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),1,Advanced Technology Consulting Service(ATCS)
13,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),1,SRF LTD
14,IDD,B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering),1,Quifers Technology - Javascript Web Developer / Android Developer
