,degree,branch,placed,company
0,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,Mercedes Benz R&D
1,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,GE Digital
2,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,Goldman Sachs
3,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),2,Infosys Limited -Tech Analyst
4,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,Mahindra & Mahindra Ltd
5,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,Qualcomm: Hardware Profile
6,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,Nvidia Hardware
7,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,MathWorks
8,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,ITC Ltd. (PPO)
9,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,Ford
