,degree,branch,placed,company
0,B.Tech.,Biotechnology,2,Thermofisher
1,B.Tech.,Biotechnology,1,Droom: Analyst QA
2,B.Tech.,Biotechnology,1,Centre for Science of Student Learning
3,B.Tech.,Biotechnology,1,Novocura (Mfine)
4,B.Tech.,Biotechnology,1,EXL Service Pvt. Ltd.
5,B.Tech.,Biotechnology,1,ICICI Lombard
6,B.Tech.,Biotechnology,1,Xion Multiventures
7,B.Tech.,Biotechnology,1,Tata Consultancy Services Ltd.(Research)
8,B.Tech.,Biotechnology,2,PwC Pvt. Ltd.
9,B.Tech.,Biotechnology,1,Affine Analytics
10,B.Tech.,Biotechnology,1,MasterCard
11,B.Tech.,Biotechnology,1,Edelweiss
12,B.Tech.,Biotechnology,1,Virtusa Consulting Services
13,B.Tech.,Biotechnology,1,Cubastion Consulting pvt Ltd
14,B.Tech.,Biotechnology,1,Sears Final Portal
15,B.Tech.,Biotechnology,1,UnitedHealth Group
