,degree,branch,placed,company
0,B.Tech.,Chemical Engineering,1,Advanced Technology Consulting Service(ATCS)
1,B.Tech.,Chemical Engineering,2,Capgemini (Final)
2,B.Tech.,Chemical Engineering,6,Cognizant technology solutions(Software)
3,B.Tech.,Chemical Engineering,4,Indian Oil Corporation Limited
4,B.Tech.,Chemical Engineering,1,Codalyze Technologies Pvt. Ltd.
5,B.Tech.,Chemical Engineering,3,Sears(Software Engineer)
6,B.Tech.,Chemical Engineering,1,HSBC
7,B.Tech.,Chemical Engineering,5,Reliance Industries Ltd.
8,B.Tech.,Chemical Engineering,1,Treebo BA
9,B.Tech.,Chemical Engineering,1,American Express
10,B.Tech.,Chemical Engineering,2,BeeHyv Software Solutions Pvt. Ltd
11,B.Tech.,Chemical Engineering,1,Schlumberger Asia Services Ltd.
12,B.Tech.,Chemical Engineering,3,Virtusa Consulting Services
13,B.Tech.,Chemical Engineering,1,Quifers Tecnology - Business Development Manager
14,B.Tech.,Chemical Engineering,1,Fuzzy Logix
15,B.Tech.,Chemical Engineering,1,1mg Technologies Pvt. Ltd
16,B.Tech.,Chemical Engineering,1,i3 Consulting
17,B.Tech.,Chemical Engineering,4,Reliance Industries Ltd. (PPO)
18,B.Tech.,Chemical Engineering,3,ZS Associates Pvt. Ltd.: Business
19,B.Tech.,Chemical Engineering,1,ITC Ltd. (PPO)
20,B.Tech.,Chemical Engineering,4,EXL Service Pvt. Ltd.
21,B.Tech.,Chemical Engineering,1,Shell India Market Pvt. Ltd. (PPO)
22,B.Tech.,Chemical Engineering,1,MasterCard
23,B.Tech.,Chemical Engineering,2,ExxonMobil
24,B.Tech.,Chemical Engineering,1,Xion Multiventures
25,B.Tech.,Chemical Engineering,1,Sears Final Portal
26,B.Tech.,Chemical Engineering,2,Centre for Social Responsibility and Leadership
27,B.Tech.,Chemical Engineering,1,Schlumberger Asia Services Ltd. (PPO)
28,B.Tech.,Chemical Engineering,2,Edelweiss
29,B.Tech.,Chemical Engineering,1,Cubastion Consulting pvt Ltd
30,B.Tech.,Chemical Engineering,1,Wipro
31,B.Tech.,Chemical Engineering,1,CGI Information Systems And Management Consultants
32,B.Tech.,Chemical Engineering,1,Nagarro Software
33,B.Tech.,Chemical Engineering,1,JK Technosoft (B Category)
