,degree,branch,placed,company
0,B.Tech.,Civil Engineering,1,Works Applications Co Ltd
1,B.Tech.,Civil Engineering,1,Fuzzy Logix
2,B.Tech.,Civil Engineering,2,EXL Service Pvt. Ltd.
3,B.Tech.,Civil Engineering,1,ZS Associates India Pvt Ltd: Data Science Associate
4,B.Tech.,Civil Engineering,6,Shapoorji Pallonji
5,B.Tech.,Civil Engineering,1,Wipro
6,B.Tech.,Civil Engineering,1,HSBC
7,B.Tech.,Civil Engineering,1,ZS Associates Pvt. Ltd.: Business
8,B.Tech.,Civil Engineering,7,L&T Construction
9,B.Tech.,Civil Engineering,2,Larsen & Toubro Ltd.
10,B.Tech.,Civil Engineering,1,CitiGroup
11,B.Tech.,Civil Engineering,2,Dar Al-Handasah Consultants (Shairs & Partners) India Pvt. Ltd. - Structural Engineer
12,B.Tech.,Civil Engineering,1,ASC Infratech
13,B.Tech.,Civil Engineering,1,Rivigo - Operations Manager
14,B.Tech.,Civil Engineering,1,Zemoso Technologies Pvt. Ltd.
15,B.Tech.,Civil Engineering,2,Denfab Engineers
16,B.Tech.,Civil Engineering,2,i3 Consulting
17,B.Tech.,Civil Engineering,1,Ruptub Solutions Pvt limited ( Treebo Hotels)- Software Profile
18,B.Tech.,Civil Engineering,1,FlyNava Technologies Private Limited
19,B.Tech.,Civil Engineering,1,PwC Pvt. Ltd.
20,B.Tech.,Civil Engineering,5,Indian Oil Corporation Limited
21,B.Tech.,Civil Engineering,1,JK Technosoft
22,B.Tech.,Civil Engineering,4,Xion Multiventures
