,degree,branch,placed,company
0,M.Tech.,Computer Science & Engineering,1,Amazon
1,M.Tech.,Computer Science & Engineering,3,Qualcomm: Software Profile
2,M.Tech.,Computer Science & Engineering,1,Visa Inc. (PPO)
3,M.Tech.,Computer Science & Engineering,1,EMC
4,M.Tech.,Computer Science & Engineering,3,Huawei Technologies
5,M.Tech.,Computer Science & Engineering,4,Veritas
6,M.Tech.,Computer Science & Engineering,3,VMWare
7,M.Tech.,Computer Science & Engineering,4,Vignan's Foundation for Science Technology and Research
8,M.Tech.,Computer Science & Engineering,2,HCL technologies
9,M.Tech.,Computer Science & Engineering,2,SAP India
10,M.Tech.,Computer Science & Engineering,1,Next Education India Pvt. Ltd. (R&D)
11,M.Tech.,Computer Science & Engineering,3,IBM (PPO)
12,M.Tech.,Computer Science & Engineering,2,C-Dot
13,M.Tech.,Computer Science & Engineering,1,Capgemini (Final)
14,M.Tech.,Computer Science & Engineering,1,Texas Instruments (PPO)
15,M.Tech.,Computer Science & Engineering,1,Ruptub Solutions Pvt limited ( Treebo Hotels)- Software Profile
16,M.Tech.,Computer Science & Engineering,3,Oracle Application Development
17,M.Tech.,Computer Science & Engineering,1,Oracle Server Technology
18,M.Tech.,Computer Science & Engineering,1,KLA Tencor Software India Pvt Ltd (APP)
19,M.Tech.,Computer Science & Engineering,1,Infosys Limited -Tech Analyst
20,M.Tech.,Computer Science & Engineering,1,Galgotias University
21,M.Tech.,Computer Science & Engineering,1,IBM Research
22,M.Tech.,Computer Science & Engineering,1,Chegg
23,M.Tech.,Computer Science & Engineering,1,Cognizant technology solutions(Software)
24,M.Tech.,Computer Science & Engineering,1,Oxigen Online Services
