,degree,branch,placed,company
0,B.Tech.,Computer Science and Engineering,1,Nagarro Software
1,B.Tech.,Computer Science and Engineering,1,CGI Information Systems And Management Consultants
2,B.Tech.,Computer Science and Engineering,1,Cognizant technology solutions(Software)
3,B.Tech.,Computer Science and Engineering,1,Wipro
4,B.Tech.,Computer Science and Engineering,3,Amazon Development Centre (India) Pvt. Ltd. (PPO)
5,B.Tech.,Computer Science and Engineering,5,Goldman Sachs (PPO)
6,B.Tech.,Computer Science and Engineering,10,Microsoft (PPO)
7,B.Tech.,Computer Science and Engineering,1,Microsoft Redmond
8,B.Tech.,Computer Science and Engineering,2,Rivigo - Software Engineer
9,B.Tech.,Computer Science and Engineering,1,Goldman Sachs
10,B.Tech.,Computer Science and Engineering,1,"Samsung R & D, Bangalore (PPO)"
11,B.Tech.,Computer Science and Engineering,6,Samsung R&D Bangalore
12,B.Tech.,Computer Science and Engineering,1,Walmart Labs
13,B.Tech.,Computer Science and Engineering,5,Adobe Systems (PPO)
14,B.Tech.,Computer Science and Engineering,5,Works Applications Co Ltd
15,B.Tech.,Computer Science and Engineering,1,Infosys Limited -Tech Analyst
16,B.Tech.,Computer Science and Engineering,1,CitiGroup
17,B.Tech.,Computer Science and Engineering,1,Sjain - Developer
18,B.Tech.,Computer Science and Engineering,1,Headout
19,B.Tech.,Computer Science and Engineering,2,Edgeverve
20,B.Tech.,Computer Science and Engineering,1,Oracle Application Development
21,B.Tech.,Computer Science and Engineering,1,Capgemini
22,B.Tech.,Computer Science and Engineering,2,IBM Research
23,B.Tech.,Computer Science and Engineering,1,Microsoft
24,B.Tech.,Computer Science and Engineering,1,Societe General Solutions Software Engineer
25,B.Tech.,Computer Science and Engineering,1,Edfora Infotech Pvt Ltd
26,B.Tech.,Computer Science and Engineering,1,Paytm
27,B.Tech.,Computer Science and Engineering,3,Visa Inc. (PPO)
28,B.Tech.,Computer Science and Engineering,1,D.E. Shaw India Software Private Limited (PPO)
29,B.Tech.,Computer Science and Engineering,1,Ola Cabs SDE
30,B.Tech.,Computer Science and Engineering,1,Tesco Bengaluru
31,B.Tech.,Computer Science and Engineering,1,Schlumberger Software
32,B.Tech.,Computer Science and Engineering,1,VMWare
33,B.Tech.,Computer Science and Engineering,1,"SAMSUNG R&D INSTITUTE, DELHI"
34,B.Tech.,Computer Science and Engineering,1,Nvidia Software
35,B.Tech.,Computer Science and Engineering,1,C-Dot
