,degree,branch,placed,company
0,IMT,Geological Technology,1,Treebo BA
1,IMT,Geological Technology,2,Piramal Foundation for Education Leadership
2,IMT,Geological Technology,1,EXL Service Pvt. Ltd.
3,IMT,Geological Technology,2,ONGC
4,IMT,Geological Technology,1,CitiGroup
5,IMT,Geological Technology,1,TEEVRA EDUTECH PVT LTD
6,IMT,Geological Technology,1,"Samsung R & D, Bangalore (PPO)"
7,IMT,Geological Technology,1,Edelweiss
8,IMT,Geological Technology,1,Fuzzy Logix
9,IMT,Geological Technology,1,Wipro
10,IMT,Geological Technology,1,OILMAX ENERGY PVT LTD
11,IMT,Geological Technology,2,Schlumberger Asia Services Ltd.
12,IMT,Geological Technology,1,Axtria India Pvt. Ltd
