,degree,branch,placed,company
0,IMT,Geophysical Technology,2,Axtria India Pvt. Ltd
1,IMT,Geophysical Technology,1,Grappus Technologies Private Limited
2,IMT,Geophysical Technology,1,Piramal Foundation for Education Leadership
3,IMT,Geophysical Technology,7,ONGC
4,IMT,Geophysical Technology,2,OILMAX ENERGY PVT LTD
5,IMT,Geophysical Technology,1,MasterCard
6,IMT,Geophysical Technology,1,Sears Final Portal
7,IMT,Geophysical Technology,1,BeeHyv Software Solutions Pvt. Ltd
8,IMT,Geophysical Technology,2,Schlumberger Asia Services Ltd.
9,IMT,Geophysical Technology,1,Quifers Tecnology - Business Development Manager
