,degree,branch,placed,company
0,MBA,Management and Business Administration,5,Mazars
1,MBA,Management and Business Administration,9,KPMG
2,MBA,Management and Business Administration,2,Bristlecone
3,MBA,Management and Business Administration,1,Suzlon
4,MBA,Management and Business Administration,3,Analytics Quotient MBA
5,MBA,Management and Business Administration,2,Vedanta
6,MBA,Management and Business Administration,3,ICICI Securities
7,MBA,Management and Business Administration,1,Diginext Education
8,MBA,Management and Business Administration,9,ICICI BANK
9,MBA,Management and Business Administration,1,SoulFlower MBA
10,MBA,Management and Business Administration,9,Cognizant Technology Solutions( Data analyst)
11,MBA,Management and Business Administration,2,Kellton Tech
12,MBA,Management and Business Administration,1,Fuzzy Logix
13,MBA,Management and Business Administration,1,Stat Decision Labs
