,degree,branch,placed,company
0,B.Tech.,Production and Industrial Engineering,1,Schlumberger Asia Services Ltd. (PPO)
1,B.Tech.,Production and Industrial Engineering,1,JK Technosoft (B Category)
2,B.Tech.,Production and Industrial Engineering,1,Knowledge Podium Systems Pvt Ltd (for UG)
3,B.Tech.,Production and Industrial Engineering,2,Xion Multiventures
4,B.Tech.,Production and Industrial Engineering,1,National Engineering Industries (NBC) Ltd
5,B.Tech.,Production and Industrial Engineering,2,TATA Steel Ltd. (PPO)
6,B.Tech.,Production and Industrial Engineering,1,i3 Consulting
7,B.Tech.,Production and Industrial Engineering,1,Fuzzy Logix
8,B.Tech.,Production and Industrial Engineering,1,Wipro
9,B.Tech.,Production and Industrial Engineering,1,American Express
10,B.Tech.,Production and Industrial Engineering,1,Schlumberger Asia Services Ltd.
11,B.Tech.,Production and Industrial Engineering,3,ITC Ltd. (PPO)
12,B.Tech.,Production and Industrial Engineering,1,PwC Pvt. Ltd.
13,B.Tech.,Production and Industrial Engineering,1,Edelweiss
14,B.Tech.,Production and Industrial Engineering,1,Quifers Tecnology - Business Development Manager
15,B.Tech.,Production and Industrial Engineering,2,FlyNava Technologies Private Limited
16,B.Tech.,Production and Industrial Engineering,1,Cubastion Consulting pvt Ltd
17,B.Tech.,Production and Industrial Engineering,1,Capgemini
18,B.Tech.,Production and Industrial Engineering,1,Tata Motors for UG
19,B.Tech.,Production and Industrial Engineering,1,Wipro Limited (PPO)
20,B.Tech.,Production and Industrial Engineering,1,Affine Analytics
21,B.Tech.,Production and Industrial Engineering,1,Alethe Labs
22,B.Tech.,Production and Industrial Engineering,1,Kanodia Technoplast Limited
23,B.Tech.,Production and Industrial Engineering,1,MasterCard
24,B.Tech.,Production and Industrial Engineering,1,Sears Final Portal
25,B.Tech.,Production and Industrial Engineering,1,Piramal Foundation for Education Leadership
26,B.Tech.,Production and Industrial Engineering,1,JK Technosoft
27,B.Tech.,Production and Industrial Engineering,1,Capgemini (Final)
28,B.Tech.,Production and Industrial Engineering,1,Droom: Analyst QA
