,degree,branch,placed,company
0,M.Tech.,Structural Dynamics,4,Dar Al-Handasah Consultants (Shairs & Partners) India Pvt. Ltd. - Structural Engineer
1,M.Tech.,Structural Dynamics,2,Atkins India
2,M.Tech.,Structural Dynamics,3,L&T Construction
3,M.Tech.,Structural Dynamics,1,SPECTRUM Techno Consultants Pvt. Ltd.
4,M.Tech.,Structural Dynamics,1,Vignan's Foundation for Science Technology and Research
5,M.Tech.,Structural Dynamics,1,Thornton Tomasetti (India) LLP
6,M.Tech.,Structural Dynamics,1,Galgotias University
7,M.Tech.,Structural Dynamics,2,Dehradun Institue of Technology
8,M.Tech.,Structural Dynamics,1,KIIT UNIVERSITY
9,M.Tech.,Structural Dynamics,1,Intercontinental Consultants &amp Technocrats Pvt. Ltd
