,degree,branch,placed,company
0,B.Tech.,Electrical Engineering,1,Fuzzy Logix (PPO)
1,B.Tech.,Electrical Engineering,2,Texas Instruments (PPO)
2,B.Tech.,Electrical Engineering,2,"Samsung R & D, Bangalore (PPO)"
3,B.Tech.,Electrical Engineering,1,Qualcomm India Private Limited (PPO)
4,B.Tech.,Electrical Engineering,2,Wipro Limited (PPO)
5,B.Tech.,Electrical Engineering,1,TATA Steel Ltd. (PPO)
6,B.Tech.,Electrical Engineering,2,Adobe Systems (PPO)
7,B.Tech.,Electrical Engineering,1,Capital One Services (India) Pvt. Ltd. (PPO)
8,B.Tech.,Electrical Engineering,1,UnitedHealth Group
9,B.Tech.,Electrical Engineering,2,Fuzzy Logix
10,B.Tech.,Electrical Engineering,1,Goldman Sachs (PPO)
11,B.Tech.,Electrical Engineering,2,Walmart Labs
12,B.Tech.,Electrical Engineering,1,Exicom
13,B.Tech.,Electrical Engineering,1,Societe General Solutions Software Engineer
14,B.Tech.,Electrical Engineering,2,EXL Service Pvt. Ltd.
15,B.Tech.,Electrical Engineering,1,Goldman Sachs
16,B.Tech.,Electrical Engineering,1,Oracle Application Development
17,B.Tech.,Electrical Engineering,1,Jindal Stainless Limited (PPO)
18,B.Tech.,Electrical Engineering,2,Microsoft
19,B.Tech.,Electrical Engineering,2,Tesco Bengaluru
20,B.Tech.,Electrical Engineering,1,"SAMSUNG R&D INSTITUTE, DELHI"
21,B.Tech.,Electrical Engineering,1,Indus Valley Partners
22,B.Tech.,Electrical Engineering,1,Futures First info services Pvt Ltd
23,B.Tech.,Electrical Engineering,8,Wipro
24,B.Tech.,Electrical Engineering,9,Samsung R&D Bangalore
25,B.Tech.,Electrical Engineering,1,HSBC
26,B.Tech.,Electrical Engineering,1,Mahindra & Mahindra Ltd
27,B.Tech.,Electrical Engineering,1,VMWare
28,B.Tech.,Electrical Engineering,2,Next Education India Pvt. Ltd. (R&D)
29,B.Tech.,Electrical Engineering,1,CGI Information Systems And Management Consultants
30,B.Tech.,Electrical Engineering,2,Amazon
31,B.Tech.,Electrical Engineering,1,American Express
32,B.Tech.,Electrical Engineering,1,Shimizu (Electrical & Mechanical Engineer)
33,B.Tech.,Electrical Engineering,2,CitiGroup
34,B.Tech.,Electrical Engineering,1,Sears(Software Engineer)
35,B.Tech.,Electrical Engineering,1,Bidgely
36,B.Tech.,Electrical Engineering,4,Tata Motors for UG
37,B.Tech.,Electrical Engineering,2,Zemoso Technologies Pvt. Ltd.
38,B.Tech.,Electrical Engineering,1,Sears Final Portal
39,B.Tech.,Electrical Engineering,2,Nvidia Software
40,B.Tech.,Electrical Engineering,1,P2 Power Solutions - Power Engineering Group
41,B.Tech.,Electrical Engineering,1,i3 Consulting
42,B.Tech.,Electrical Engineering,1,Paytm
43,B.Tech.,Electrical Engineering,1,Finisar Corporation
44,B.Tech.,Electrical Engineering,3,Capgemini
45,B.Tech.,Electrical Engineering,1,TransBitTechnologies Software Private Limited
46,B.Tech.,Electrical Engineering,1,Tata Consultancy Services Ltd.(Digital)
47,B.Tech.,Electrical Engineering,4,Infosys Limited -Tech Analyst
48,B.Tech.,Electrical Engineering,2,BeeHyv Software Solutions Pvt. Ltd
49,B.Tech.,Electrical Engineering,1,Affine Analytics
50,B.Tech.,Electrical Engineering,1,Virtusa Consulting Services
51,B.Tech.,Electrical Engineering,2,Chegg
52,B.Tech.,Electrical Engineering,1,Omax Autos Ltd.
53,B.Tech.,Electrical Engineering,2,Amplus Energy Solutions Pvt Ltd
54,B.Tech.,Electrical Engineering,2,Cognizant technology solutions(Software)
55,B.Tech.,Electrical Engineering,1,Capgemini (Final)
56,B.Tech.,Electrical Engineering,1,Kanodia Technoplast Limited
57,B.Tech.,Electrical Engineering,1,JK Technosoft
58,B.Tech.,Electrical Engineering,1,Advanced Technology Consulting Service(ATCS)
59,B.Tech.,Electrical Engineering,1,Xion Multiventures
60,B.Tech.,Electrical Engineering,2,Reliance Jio
61,B.Tech.,Electrical Engineering,1,Centre for Social Responsibility and Leadership
62,B.Tech.,Electrical Engineering,2,Knowledge Podium Systems Pvt Ltd (for UG)
0,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,Mercedes Benz R&D
1,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,GE Digital
2,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,Goldman Sachs
3,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),2,Infosys Limited -Tech Analyst
4,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,Mahindra & Mahindra Ltd
5,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,Qualcomm: Hardware Profile
6,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,Nvidia Hardware
7,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,MathWorks
8,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,ITC Ltd. (PPO)
9,IDD,B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics),1,Ford
