,degree,branch,placed,company
0,B.Tech.,Mechanical Engineering,1,Citicorp Services India Pvt. Ltd. (PPO)
1,B.Tech.,Mechanical Engineering,3,Fuzzy Logix (PPO)
2,B.Tech.,Mechanical Engineering,2,Reliance Industries Ltd. (PPO)
3,B.Tech.,Mechanical Engineering,2,TATA Steel Ltd. (PPO)
4,B.Tech.,Mechanical Engineering,1,ITC Ltd. (PPO)
5,B.Tech.,Mechanical Engineering,1,Fuzzy Logix
6,B.Tech.,Mechanical Engineering,1,EXL Service Pvt. Ltd.
7,B.Tech.,Mechanical Engineering,1,PayPal India Pvt Ltd
8,B.Tech.,Mechanical Engineering,2,Jindal Stainless Limited (PPO)
9,B.Tech.,Mechanical Engineering,1,Futures First info services Pvt Ltd
10,B.Tech.,Mechanical Engineering,2,ZS Associates Pvt. Ltd.: Business
11,B.Tech.,Mechanical Engineering,1,CGI Information Systems And Management Consultants
12,B.Tech.,Mechanical Engineering,1,Shimizu (Electrical & Mechanical Engineer)
13,B.Tech.,Mechanical Engineering,1,Schlumberger Asia Services Ltd.
14,B.Tech.,Mechanical Engineering,2,ISRO
15,B.Tech.,Mechanical Engineering,2,Larsen & Toubro Ltd.
16,B.Tech.,Mechanical Engineering,2,CitiGroup
17,B.Tech.,Mechanical Engineering,1,Bajaj Auto
18,B.Tech.,Mechanical Engineering,1,National Engineering Industries (NBC) Ltd
19,B.Tech.,Mechanical Engineering,1,Fermyon Technologies India Pvt. Ltd. (PPO)
20,B.Tech.,Mechanical Engineering,1,Rivigo - Operations Manager
21,B.Tech.,Mechanical Engineering,1,Busigence: Data Engineer
22,B.Tech.,Mechanical Engineering,1,Tata Motors for UG
23,B.Tech.,Mechanical Engineering,3,Reliance Industries Ltd.
24,B.Tech.,Mechanical Engineering,1,Capgemini
25,B.Tech.,Mechanical Engineering,1,TransBitTechnologies Software Private Limited
26,B.Tech.,Mechanical Engineering,1,Cubastion Consulting pvt Ltd
27,B.Tech.,Mechanical Engineering,1,Omax Autos Ltd.
28,B.Tech.,Mechanical Engineering,1,Sjain-Manager Strategist
29,B.Tech.,Mechanical Engineering,4,Indian Oil Corporation Limited
30,B.Tech.,Mechanical Engineering,1,Kanodia Technoplast Limited
31,B.Tech.,Mechanical Engineering,1,The Hi-Tech Robotic systemz Ltd.
32,B.Tech.,Mechanical Engineering,1,Centre for Social Responsibility and Leadership
33,B.Tech.,Mechanical Engineering,1,JK Technosoft (B Category)
