,Name,Sector,Name_of_post,Place of posting,Actual Post,Category,Open_for_UG,Open_for_PG,CTC_PG,CGPA_Requirement,Total_vacancies,PPO or not ,Applied Mathematics,Computer Science,electronic,electrical ,Mechanical,Chemical,Architecture and planning,Process,Biotechnology,Chemistry,Civil ,Geological,Geophysical ,Metallurgical,Physics,Polymer Science,Production and Industrial ,Pulp & Paper,Unnamed: 28,number_of_people,CTC_UG,CTC Remark,CGPA Requirement
0,Visa Inc. (PPO),IT,-,Hyderabad,Software,A,['Computer Science and Engineering'],,-,-,-,PPO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,17.99 Lacs INR,Not Mentioned,Not Mentioned
1,D.E. Shaw India Software Private Limited (PPO),IT,-,Hyderabad,Software,A,['Computer Science and Engineering'],,-,-,-,PPO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,29.0 Lacs INR,Not Mentioned,Not Mentioned
2,Citicorp Services India Pvt. Ltd. (PPO),Finance,-,Pune,Software,A,"['Electronics & Communication Engineering', 'Mechanical Engineering']",,-,-,-,PPO,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,13.5 Lacs INR,,
3,Fuzzy Logix (PPO),Consultancy,-,Bangalore,Data Science,A,"['Electrical Engineering', 'Mechanical Engineering']",,-,-,-,PPO,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,-,,
4,Texas Instruments (PPO),Core Engineering,-,Bangalore,Core,A,"['B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Electrical Engineering']",['Computer Science & Engineering'],17.4 Lacs INR,-,-,PPO,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,16.0 Lacs INR,Not Mentioned,Not Mentioned
5,Itron (PPO),IT,-,,Software,A,['Electronics & Communication Engineering'],,-,,-,PPO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.5 Lacs INR,,
6,"Samsung R & D, Bangalore (PPO)",R&D,-,Bangalore,Core,A,"['Computer Science and Engineering', 'Electrical Engineering']",,-,-,-,PPO,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,22.0 Thousands INR,,
7,Microsoft (PPO),IT,-,Bangalore,Software,A,['Computer Science and Engineering'],,-,.,-,PPO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,-,,
8,Qualcomm India Private Limited (PPO),Core Engineering,-,Bangalore,Core,A,['Engineering Physics'],,-,-,-,PPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,14.3 Lacs INR,,
9,Wipro Limited (PPO),IT,-,Bangalore,Software,A,"['Electrical Engineering', 'Electronics & Communication Engineering', 'Production and Industrial Engineering']",,-,-,-,PPO,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,9.0 Lacs INR,,
