,name,number_of_people
0,1mg Technologies Pvt. Ltd,1
1,Accenture Services Pvt. Ltd. (PPO),1
2,Adobe Systems (PPO),13
3,Advanced Technology Consulting Service(ATCS),6
4,Affine Analytics,7
5,AFFLATUS GRAVURES PVT. LTD.,1
6,Alethe Labs,2
7,Amazon,5
8,Amazon Development Centre (India) Pvt. Ltd. (PPO),5
9,American Express,5
10,American Express India (PPO),4
11,Amity University Madhya Pradesh,3
12,Amplus Energy Solutions Pvt Ltd,2
13,Analytics Quotient MBA,3
14,ANEL Emirates General Contracting LLC,1
15,Applied Materials,1
16,ASC Infratech,3
17,Atkins India,3
18,Axtria India Pvt. Ltd,5
19,B & S Engineering Consultants Pvt. Ltd.,1
20,Bajaj Auto,1
21,BeeHyv Software Solutions Pvt. Ltd,5
22,Bharat Dynamics Limited,2
23,Bharti Airtel,3
24,Bidgely,2
25,BRIDGECON INFRA CONSULTANT,1
26,Bristlecone,2
27,Busigence: Data Engineer,1
28,C-Dot,3
29,Capgemini,9
30,Capgemini (Final),13
31,Capital One Services (India) Pvt. Ltd. (PPO),2
32,Center For Development of Advanced Computing,3
33,Centre for Science of Student Learning,1
34,Centre for Social Responsibility and Leadership,4
35,CGI Information Systems And Management Consultants,6
36,Chegg,4
37,Citicorp Services India Pvt. Ltd. (PPO),4
38,CitiGroup,11
39,Codalyze Technologies Pvt. Ltd.,2
40,Cognizant Technology Solutions( Data analyst),9
41,Cognizant technology solutions(Software),16
42,Cubastion Consulting pvt Ltd,6
43,D.E. Shaw India Software Private Limited (PPO),1
44,Dar Al-Handasah Consultants (Shairs & Partners) India Pvt. Ltd. - Architect,17
45,Dar Al-Handasah Consultants (Shairs & Partners) India Pvt. Ltd. - Structural Engineer,7
46,Dehradun Institue of Technology,10
47,Denfab Engineers,2
48,Diginext Education,1
49,Droom: Analyst QA,3
50,EATON,7
51,Edelweiss,5
52,Edfora Infotech Pvt Ltd,2
53,Edgeverve,2
54,EMC,1
55,Essel Propack,1
56,Exicom,1
57,EXL Service Pvt. Ltd.,15
58,ExxonMobil,2
59,Feedback Infra Pvt. Ltd,3
60,Fermyon Technologies India Pvt. Ltd. (PPO),1
61,Finisar Corporation,1
62,FlyNava Technologies Private Limited,3
63,Ford,2
64,Futures First info services Pvt Ltd,3
65,Fuzzy Logix,8
66,Fuzzy Logix (PPO),4
67,Galgotias University,13
68,GE Digital,1
69,Goldman Sachs,6
70,Goldman Sachs (PPO),6
71,Grappus Technologies Private Limited,3
72,HCL technologies,3
73,Headout,1
74,Health Care at Home India Pvt. Ltd,1
75,Hero Motocorp Ltd (PG),2
76,Hero MotoCorp Ltd (UG),1
77,HSBC,4
78,Huawei Technologies,3
79,Huhtamaki PPL (for M.tech),2
80,i3 Consulting,6
81,IBM (PPO),3
82,IBM Research,3
83,ICICI BANK,9
84,ICICI Lombard,1
85,ICICI Securities,3
86,Indian Oil Corporation Limited,13
87,Indian Oil Corporation Ltd. R & D Centre,1
88,Indus Valley Partners,1
89,Infosys Limited -Tech Analyst,10
90,"Infosys Ltd.,",3
91,Intercontinental Consultants &amp Technocrats Pvt. Ltd,1
92,Interview Bit,2
93,ISGEC Heavy Engineering Ltd.,1
94,ISRO,4
95,ITC Ltd. (PPO),6
96,Jindal Stainless Limited (PPO),5
97,JK Technosoft,4
98,JK Technosoft (B Category),3
99,JohnDeere India Pvt ltd,2
100,Kanodia Technoplast Limited,5
101,Kellton Tech,2
102,KIIT UNIVERSITY,17
103,KLA Tencor Software India Pvt Ltd (APP),2
104,Knowledge Podium Systems Pvt Ltd (for UG),3
105,KPIT Technologies,2
106,KPMG,9
107,L&T Construction,15
108,Larsen & Toubro Ltd.,8
109,Mahindra & Mahindra Ltd,3
110,MasterCard,7
111,MathWorks,1
112,Mazars,5
113,Mercedes Benz R&D,6
114,Microsoft,6
115,Microsoft (PPO),10
116,Microsoft Redmond,1
117,"MM University, Mullana",8
118,Nagarro Software,5
119,National Engineering Industries (NBC) Ltd,3
120,Next Education India Pvt. Ltd. (R&D),3
121,Novocura (Mfine),2
122,Nvidia Hardware,4
123,Nvidia Software,4
124,OILMAX ENERGY PVT LTD,3
125,Ola Cabs SDE,1
126,Oliver Wyman India (PPO),1
127,Omax Autos Ltd.,4
128,ONGC,11
129,Oracle Application Development,6
130,Oracle Server Technology,1
131,Oxane Partners,3
132,Oxigen Online Services,1
133,P2 Power Solutions - Power Engineering Group,2
134,PayPal India Pvt Ltd,2
135,Paytm,4
136,Piramal Foundation for Education Leadership,10
137,PwC Pvt. Ltd.,8
138,Qualcomm India Private Limited (PPO),1
139,Qualcomm: Hardware Profile,3
140,Qualcomm: Software Profile,7
141,Quifers Technology - Javascript Web Developer / Android Developer,1
142,Quifers Tecnology - Business Development Manager,3
143,Reckitt Benkiser,1
144,RELAXO FOOTWEARS LIMITED,2
145,Reliance Industries Ltd.,8
146,Reliance Industries Ltd. (PPO),6
147,Reliance Jio,6
148,Rivigo - Operations Manager,2
149,Rivigo - Software Engineer,3
150,Rohit Surfactants Pvt. Ltd. (RSPL Group),1
151,Ruptub Solutions Pvt limited ( Treebo Hotels)- Software Profile,3
152,Samsung Noida,2
153,"Samsung R & D, Bangalore (PPO)",6
154,Samsung R&D Bangalore,20
155,"SAMSUNG R&D INSTITUTE, DELHI",6
156,SAP India,2
157,SCA Technologies Ltd.-Business Analyst,1
158,SCA Technologies-Software Anlayst,3
159,Schlumberger Asia Services Ltd.,7
160,Schlumberger Asia Services Ltd. (PPO),3
161,Schlumberger Software,3
162,Sears Final Portal,6
163,Sears(Software Engineer),4
164,Shapoorji Pallonji,9
165,Shell India Market Pvt. Ltd. (PPO),1
166,Shimizu (Electrical & Mechanical Engineer),2
167,Shimizu Corporation( Planning Engineer),2
168,Sjain - Developer,1
169,Sjain-Manager Strategist,1
170,SMEC (Member of the Surbana Jurong Group),2
171,Societe General Solutions Software Engineer,2
172,Sokrati Technologies Pvt. Ltd.,1
173,SoulFlower MBA,1
174,SPECTRUM Techno Consultants Pvt. Ltd.,1
175,SRF LTD,1
176,Stat Decision Labs,1
177,Steel Strips Wheel Limited,2
178,Subros Ltd.,2
179,Subros(final),1
180,Suzlon,1
181,Tata Communications Ltd.,2
182,Tata Consultancy Services Ltd.(Digital),1
183,Tata Consultancy Services Ltd.(Research),1
184,Tata Motors for UG,11
185,Tata Motors Ltd.,3
186,TATA Steel Ltd. (PPO),8
187,TCS-BPS,4
188,TEEVRA EDUTECH PVT LTD,3
189,Tesco Bengaluru,3
190,Texas Instruments (PPO),4
191,"Thapar University, Patiala",3
192,The Hi-Tech Robotic systemz Ltd.,1
193,Thermofisher,4
194,Thornton Tomasetti (India) LLP,1
195,TransBitTechnologies Software Private Limited,4
196,Treebo BA,6
197,Uflex Chemicals,1
198,UnitedHealth Group,2
199,vConstruct Pvt.Ltd,1
200,Vedanta,2
201,Veritas,4
202,Vignan's Foundation for Science Technology and Research,9
203,Virtusa Consulting Services,9
204,Visa Inc. (PPO),4
205,Vishveshwarya Group of Institutions,3
206,Vizury Interactive Solutions,1
207,VMWare,6
208,Walmart Labs,4
209,Wipro,16
210,Wipro Limited (PPO),5
211,Works Applications Co Ltd,6
212,Xion Multiventures,13
213,Zemoso Technologies Pvt. Ltd.,6
214,ZS Associates India Pvt Ltd: Data Science Associate,1
215,ZS Associates Pvt. Ltd.: Business,7
