,Name,Category,Open_for_UG,Open_for_PG,CTC_UG,CTC_PG,CGPA_Requirement,Total_vacancies,Sector,Name_of_post
0,Visa Inc. (PPO),A,['Computer Science and Engineering'],NA,17.99 Lacs INR,-,-,-,IT,-
1,D.E. Shaw India Software Private Limited (PPO),A,['Computer Science and Engineering'],NA,29.0 Lacs INR,-,-,-,IT,-
2,Citicorp Services India Pvt. Ltd. (PPO),A,"['Electronics & Communication Engineering', 'Mechanical Engineering']",NA,13.5 Lacs INR,-,-,-,Finance,-
3,Fuzzy Logix (PPO),A,"['Electrical Engineering', 'Mechanical Engineering']",NA,-,-,-,-,Consultancy,-
4,Texas Instruments (PPO),A,"['B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Electrical Engineering']",['Computer Science & Engineering'],16.0 Lacs INR,17.4 Lacs INR,-,-,Core Engineering,-
5,Itron (PPO),A,['Electronics & Communication Engineering'],NA,8.5 Lacs INR,-,-,-,IT,-
6,"Samsung R & D, Bangalore (PPO)",A,"['Computer Science and Engineering', 'Electrical Engineering']",NA,22.0 Thousands INR,-,-,-,R&D,-
7,Microsoft (PPO),A,['Computer Science and Engineering'],NA,-,-,-,-,IT,-
8,Qualcomm India Private Limited (PPO),A,['Engineering Physics'],NA,14.3 Lacs INR,-,-,-,Core Engineering,-
9,Wipro Limited (PPO),A,"['Electrical Engineering', 'Electronics & Communication Engineering', 'Production and Industrial Engineering']",NA,9.0 Lacs INR,-,-,-,Core Engineering,-
10,TATA Steel Ltd. (PPO),A,"['Electrical Engineering', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Production and Industrial Engineering']",NA,8.33 Lacs INR,-,-,-,IT,-
11,Adobe Systems (PPO),A,"['Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']",NA,-,-,-,-,Core Engineering,-
12,Capital One Services (India) Pvt. Ltd. (PPO),A,['Electrical Engineering'],NA,15.57 Lacs INR,-,-,-,R&D,-
13,Accenture Services Pvt. Ltd. (PPO),A,['Applied Mathematics'],NA,-,-,-,-,Finance,-
14,Amazon Development Centre (India) Pvt. Ltd. (PPO),A,"['Computer Science and Engineering', 'Electronics & Communication Engineering']",NA,-,-,-,-,IT,-
15,Schlumberger Asia Services Ltd. (PPO),A,"['B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'Chemical Engineering', 'Production and Industrial Engineering']",NA,-,-,-,-,IT,-
16,ITC Ltd. (PPO),A,"['B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'Chemical Engineering', 'Mechanical Engineering', 'Production and Industrial Engineering']",NA,-,-,-,-,Oil & Gas,-
17,"Infosys Ltd.,",A,"['Applied Mathematics', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']","['Computer Science & Engineering', 'Information Technology']",17.0 Lacs INR,-,-,-,FMCG,-
