,Name,total,reg,placed,percent
0,Applied Science and Engineering Department,0,0,0,0%
1,Centre for Nanotechnology,15,8,0,0%
2,Architecture and Planning Department,29,26,14,53%
3,Biotechnology Department,28,22,1,4%
4,Chemical Engineering Department,54,37,3,8%
5,Centre of Excellence in Disaster Mitigation and Management,13,12,2,16%
6,Chemistry Department,14,7,1,14%
7,Civil Engineering Department,134,52,19,36%
8,Computer Science and Engineering Department,51,39,38,97%
9,Centre for Transportation Systems,14,12,2,16%
10,Earthquake Department,56,28,16,57%
11,Earth Sciences Department,11,11,2,18%
12,Electrical Engineering Department,90,37,17,45%
13,Electronics and Communication Engineering Department,47,23,13,56%
14,Humanities and Social Sciences Department,0,0,0,0%
15,Hydrology Department,14,5,0,0%
16,Management Studies Department,53,49,49,100%
17,Mathematics Department,22,19,4,21%
18,Mechanical and Industrial Engineering Department,82,40,18,45%
19,Metallurgical and Materials Engineering Department,35,19,1,5%
20,Paper Technology Department,24,22,8,36%
21,Polymer and Process Engineering Department,0,0,0,0%
22,Physics Department,25,16,7,43%
23,Water Resources Development and Management Department,12,12,0,0%
24,Centre for Disaster Mitigation,13,12,2,16%
25,Institute Computer Centre,0,0,0,0%
26,Institute Instrumentation Centre,0,0,0,0%
27,Quality Improvement Programme,0,0,0,0%
