,Name,total,reg,placed,percent
0,Alternate Hydro Energy Centre,0,0,0,0%
1,Applied Science and Engineering Department,0,0,0,0%
2,Centre for Nanotechnology,0,0,0,0%
3,Architecture and Planning Department,48,20,13,65%
4,Biotechnology Department,46,35,18,51%
5,Chemical Engineering Department,143,124,79,63%
6,Centre of Excellence in Disaster Mitigation and Management,0,0,0,0%
7,Chemistry Department,22,3,2,66%
8,Civil Engineering Department,153,125,51,40%
9,Computer Science and Engineering Department,85,76,65,85%
10,Centre for Transportation Systems,0,0,0,0%
11,Earthquake Department,0,0,0,0%
12,Earth Sciences Department,66,53,33,62%
13,Electrical Engineering Department,163,148,111,75%
14,Electronics and Communication Engineering Department,101,89,78,87%
15,Humanities and Social Sciences Department,0,0,0,0%
16,Hydrology Department,0,0,0,0%
17,Management Studies Department,0,0,0,0%
18,Mathematics Department,37,20,12,60%
19,Mechanical and Industrial Engineering Department,148,117,77,65%
20,Metallurgical and Materials Engineering Department,136,108,59,54%
21,Paper Technology Department,77,51,14,27%
22,Polymer and Process Engineering Department,0,0,0,0%
23,Physics Department,32,9,3,33%
24,Water Resources Development and Management Department,0,0,0,0%
25,Centre for Disaster Mitigation,0,0,0,0%
26,Institute Computer Centre,0,0,0,0%
27,Institute Instrumentation Centre,0,0,0,0%
28,Quality Improvement Programme,0,0,0,0%
